Sample	Family ID	Gender	Relationship
HG01811	HG01811	male	null
HG01812	HG01812	female	null
HG01813	HG01813	female	null
HG01815	HG01815	female	null
HG01816	HG01816	male	null
HG01817	HG01817	female	null
HG01840	VN007	male	null
HG01841	VN008	female	null
HG01842	VN009	male	null
HG01843	VN010	female	null
HG01844	VN011	male	null
HG01845	VN012	female	null
HG01846	VN013	male	null
HG01847	VN014	female	null
HG01848	VN015	female	null
HG01849	VN016	male	null
HG01850	VN017	female	null
HG01851	VN018	female	null
HG01852	VN019	male	null
HG01853	VN020	female	null
HG01855	VN022	female	null
HG01857	VN024	female	null
HG01858	VN025	female	null
HG01859	VN026	female	null
HG01860	VN027	male	null
HG01861	VN028	male	null
HG01862	VN029	female	null
HG01863	VN030	female	null
HG01864	VN031	male	null
HG01865	VN032	male	null
HG01866	VN033	male	null
HG01867	VN034	male	null
HG01868	VN035	female	null
HG01869	VN036	female	null
HG01870	VN037	female	null
HG01871	VN038	female	null
HG01872	VN039	male	null
HG01873	VN040	male	null
HG01874	VN041	female	null
HG01878	VN045	female	null
HG01879	BB01	male	father
HG01880	BB01	female	mother
HG01881	BB01	female	child
HG01882	BB02	male	father
HG01883	BB02	female	mother
HG01884	BB03	female	child
HG01885	BB03	male	father
HG01886	BB04	female	mother
HG01887	BB04	male	child
HG01888	BB02	male	child
HG01889	BB05	female	mother
HG01890	BB05	male	father
HG01891	BB05	female	child
HG01892	PEL007	male	father
HG01893	PEL007	female	mother
HG01894	BB06	female	mother
HG01895	BB06	male	child
HG01896	BB07	female	mother
HG01897	BB07	male	child
HG01898	PEL007	female	child
HG01912	BB06	male	father
HG01914	BB09	male	father
HG01915	BB09	female	mother
HG01916	BB09	female	child
HG01917	PEL006	male	father
HG01918	PEL006	female	mother
HG01919	PEL006	female	child
HG01920	PEL009	male	father
HG01921	PEL009	female	mother
HG01922	PEL009	female	child
HG01923	PEL010	male	father
HG01924	PEL010	female	mother
HG01925	PEL010	female	child
HG01926	PEL011	male	father
HG01927	PEL011	female	mother
HG01928	PEL011	male	child
HG01932	PEL013	male	father
HG01933	PEL013	female	mother
HG01934	PEL013	male	child
HG01935	PEL014	male	father
HG01936	PEL014	female	mother
HG01937	PEL014	male	child
HG01938	PEL015	male	father
HG01939	PEL015	female	mother
HG01940	PEL015	female	child
HG01941	PEL016	male	father
HG01942	PEL016	female	mother
HG01943	PEL016	male	child
HG01944	PEL017	male	father
HG01945	PEL017	female	mother
HG01946	PEL017	male	child
HG01947	PEL018	male	father
HG01948	PEL018	female	mother
HG01949	PEL018	female	child
HG01950	PEL019	male	father
HG01951	PEL019	female	mother
HG01952	PEL019	male	child
HG01953	PEL020	male	father
HG01954	PEL020	female	mother
HG01955	PEL020	female	child
HG01956	BB03	female	mother
HG01958	BB10	female	mother
HG01959	BB10	female	child
HG01960	BB11	female	child
HG01961	PEL21	male	father
HG01965	PEL22	female	mother
HG01967	PEL023	male	father
HG01968	PEL023	female	mother
HG01969	PEL023	female	child
HG01970	PEL024	male	father
HG01971	PEL024	female	mother
HG01972	PEL024	female	child
HG01973	PEL25	female	mother
HG01974	PEL25	male	father
HG01975	PEL25	female	child
HG01976	PEL26	female	mother
HG01977	PEL26	male	father
HG01978	PEL26	female	child
HG01979	PEL27	male	father
HG01980	PEL27	female	mother
HG01981	PEL27	female	child
HG01982	PEL28	male	father
HG01983	PEL28	female	mother
HG01984	PEL28	male	child
HG01985	BB08	female	null
HG01986	BB10	male	father
HG01987	BB12	male	child
HG01988	BB11	male	father
HG01989	BB11	female	mother
HG01990	BB12	male	father
HG01991	PEL29	male	father
HG01992	PEL29	female	mother
HG01993	PEL29	female	child
HG01995	PEL30	female	mother
HG01997	PEL31	female	mother
HG01998	PEL31	male	child
HG02002	PEL33	male	father
HG02003	PEL33	female	mother
HG02004	PEL33	female	child
HG02006	PEL34	female	child
HG02008	PEL31	male	father
HG02009	BB13	male	father
HG02010	BB13	female	mother
HG02011	BB13	male	child
HG02012	BB12	female	mother
HG02013	BB07	male	father
HG02014	BB04	male	father
HG02015	VN046	male	child
HG02016	VN046	female	mother
HG02017	VN046	male	father
HG02018	VN047	female	child
HG02019	VN047	female	mother
HG02020	VN047	male	father
HG02021	VN048	male	child
HG02023	VN048	male	father
HG02024	VN049	female	child
HG02025	VN049	female	mother
HG02026	VN049	male	father
HG02027	VN050	male	child
HG02028	VN050	female	mother
HG02029	VN050	male	father
HG02030	VN051	male	child
HG02031	VN051	female	mother
HG02032	VN051	male	father
HG02035	VN052	male	null
HG02040	VN054	male	null
HG02046	VN056	female	null
HG02047	VN056	male	null
HG02048	VN057	female	null
HG02049	VN058	female	null
HG02050	VN059	male	null
HG02051	BB14	male	null
HG02052	BB14	female	null
HG02053	BB15	male	father
HG02054	BB15	female	mother
HG02055	BB15	male	child
HG02056	VN060	male	child
HG02057	VN060	female	mother
HG02058	VN060	male	father
HG02059	VN061	female	child
HG02060	VN061	female	mother
HG02061	VN061	male	father
HG02064	VN062	male	null
HG02067	VN063	male	null
HG02068	VN064	female	child
HG02069	VN064	female	mother
HG02070	VN064	male	father
HG02071	VN065	male	child
HG02072	VN065	female	mother
HG02073	VN065	male	father
HG02074	VN066	male	child
HG02075	VN066	female	mother
HG02076	VN066	male	father
HG02077	VN067	male	child
HG02078	VN067	female	mother
HG02079	VN067	male	father
HG02080	VN068	female	child
HG02081	VN068	female	mother
HG02082	VN068	male	father
HG02083	VN069	male	child
HG02084	VN069	female	mother
HG02085	VN069	male	father
HG02086	VN070	female	null
HG02087	VN071	female	null
HG02088	VN072	male	null
HG02089	PEL35	female	mother
HG02090	PEL35	male	father
HG02091	PEL35	female	child
HG02095	BB16	female	null
HG02102	PEL37	female	child
HG02104	PEL38	male	father
HG02105	PEL38	female	mother
HG02106	PEL38	female	child
HG02107	BB18	male	null
HG02108	BB18	female	null
HG02111	BB19	female	null
HG02113	VN073	female	null
HG02116	VN074	male	null
HG02120	VN076	male	child
HG02121	VN076	female	mother
HG02122	VN076	male	father
HG02126	VN078	female	child
HG02127	VN078	female	mother
HG02128	VN078	male	father
HG02129	VN079	male	child
HG02130	VN079	female	mother
HG02131	VN079	male	father
HG02132	VN080	male	child
HG02133	VN080	female	mother
HG02134	VN080	male	father
HG02135	VN081	male	child
HG02136	VN081	female	mother
HG02137	VN081	male	father
HG02138	VN082	male	null
HG02139	VN083	female	null
HG02140	VN084	female	null
HG02141	VN085	male	null
HG02142	VN086	female	null
HG02143	BB20	male	father
HG02144	BB20	female	mother
HG02145	BB20	male	child
HG02146	PEL39	male	father
HG02147	PEL39	female	mother
HG02148	PEL39	female	child
HG02150	PEL40	male	child
HG02151	HG02151	female	null
HG02152	HG02152	female	null
HG02153	HG02153	female	null
HG02154	HG02154	female	null
HG02155	HG02155	female	null
HG02156	HG02156	female	null
HG02164	HG02164	female	null
HG02165	HG02165	female	null
HG02166	HG02166	female	null
HG02168	HG02168	female	unrel
HG02169	HG02169	female	unrel
HG02170	HG02170	female	unrel
HG02173	HG02173	female	unrel
HG02176	HG02176	female	unrel
HG02178	HG02178	female	null
HG02179	HG02179	female	null
HG02180	HG02180	female	null
HG02181	HG02181	female	null
HG02182	HG02182	female	null
HG02184	HG02184	female	null
HG02185	HG02185	female	null
HG02186	HG02186	female	null
HG02187	HG02187	female	null
HG02188	HG02188	female	null
HG02189	HG02189	female	null
HG02190	HG02190	female	null
HG02215	HG02215	female	null
HG02217	IBS055	female	child
HG02218	IBS055	female	mother
HG02219	IBS055	male	father
HG02220	IBS056	female	mother
HG02221	IBS056	male	father
HG02222	IBS056	female	child
HG02223	IBS057	female	mother
HG02224	IBS057	male	father
HG02225	IBS057	female	child
HG02229	IBS059	female	child
HG02230	IBS059	female	mother
HG02231	IBS059	male	father
HG02232	IBS060	female	mother
HG02233	IBS060	male	father
HG02234	IBS060	male	child
HG02235	IBS061	female	mother
HG02236	IBS061	male	father
HG02237	IBS061	female	child
HG02238	IBS062	male	father
HG02239	IBS062	female	mother
HG02240	IBS062	female	child
HG02250	HG02250	male	null
HG02252	PEL41	female	mother
HG02253	PEL41	male	father
HG02254	PEL41	female	child
HG02255	BB21	male	father
HG02256	BB21	female	mother
HG02257	BB21	female	child
HG02258	BB22	male	child
HG02259	PEL42	male	father
HG02260	PEL42	female	mother
HG02261	PEL42	male	child
HG02262	PEL43	male	child
HG02265	PEL44	male	father
HG02266	PEL44	female	mother
HG02267	PEL44	female	child
HG02271	PEL46	male	father
HG02272	PEL46	female	mother
HG02273	PEL46	female	child
HG02274	PEL47	male	father
HG02275	PEL47	female	mother
HG02276	PEL47	female	child
HG02277	PEL48	male	father
HG02278	PEL48	female	mother
HG02279	PEL48	male	child
HG02280	BB23	female	child
HG02281	BB24	male	father
HG02282	BB24	female	mother
HG02283	BB25	male	null
HG02284	BB26	male	null
HG02285	PEL49	male	father
HG02286	PEL49	female	mother
HG02287	PEL49	female	child
HG02288	PEL50	male	father
HG02291	PEL51	male	father
HG02292	PEL51	female	mother
HG02293	PEL51	female	child
HG02298	PEL52	female	mother
HG02299	PEL52	male	father
HG02300	PEL52	male	child
HG02301	PEL53	female	mother
HG02302	PEL53	male	father
HG02303	PEL53	female	child
HG02304	PEL54	male	child
HG02307	BB23	male	father
HG02308	BB23	female	mother
HG02309	BB25	female	null
HG02312	PEL55	female	child
HG02314	BB22	male	father
HG02315	BB22	female	mother
HG02316	BB27	male	child
HG02317	BB27	male	father
HG02318	BB27	female	mother
HG02321	BB24	female	child
HG02322	BB28	female	null
HG02323	BB29	male	null
HG02325	BB30	female	null
HG02330	BB33	male	null
HG02332	BB16	male	null
HG02334	BB32	male	null
HG02337	BB31	female	null
HG02339	BB34	female	null
HG02343	BB35	male	null
HG02344	PEL56	male	father
HG02345	PEL56	female	mother
HG02347	PEL57	male	father
HG02348	PEL57	female	mother
HG02351	HG02351	male	null
HG02353	HG02353	male	null
HG02355	HG02355	male	null
HG02356	HG02356	male	null
HG02358	HG02358	male	unrel
HG02360	HG02360	male	null
HG02363	HG02363	male	null
HG02364	HG02364	male	null
HG02367	HG02367	male	null
HG02371	CDX2	male	null
HG02372	CDX2	male	null
HG02373	HG02373	male	null
HG02374	HG02374	male	null
HG02375	HG02375	male	null
HG02377	HG02377	male	null
HG02379	HG02379	male	null
HG02380	HG02380	male	null
HG02381	HG02381	male	null
HG02382	HG02382	male	null
HG02383	HG02383	male	null
HG02384	HG02384	male	null
HG02385	HG02385	male	null
HG02386	HG02386	male	null
HG02387	HG02387	male	null
HG02388	HG02388	male	null
HG02389	HG02389	male	null
HG02390	HG02390	male	null
HG02391	HG02391	male	null
HG02392	HG02392	male	null
HG02394	HG02394	male	null
HG02395	HG02395	male	null
HG02396	HG02396	male	null
HG02397	HG02397	male	null
HG02398	HG02398	male	null
HG02399	HG02399	male	null
HG02401	HG02401	male	null
HG02402	HG02402	male	null
HG02405	HG02405	male	unrel
HG02406	HG02406	male	null
HG02407	HG02407	male	null
HG02408	HG02408	male	unrel
HG02409	HG02409	male	null
HG02410	HG02410	male	unrel
HG02415	PEL58	female	mother
HG02419	BB36	female	null
HG02420	BB37	male	father
HG02425	PEL59	female	mother
HG02427	BB37	female	mother
HG02428	BB37	male	child
HG02429	BB39	male	null
HG02433	BB41	male	null
HG02436	BB40	male	null
HG02439	BB42	male	father
HG02442	BB43	male	null
HG02445	BB44	male	null
HG02449	BB46	male	father
HG02450	BB46	female	mother
HG02451	BB46	female	child
HG02455	BB48	male	father
HG02461	GB15	male	father
HG02462	GB15	female	mother
HG02463	GB15	male	child
HG02464	GB16	male	father
HG02465	GB16	female	mother
HG02466	GB16	male	child
HG02470	BB49	male	null
HG02471	BB49	female	null
HG02476	BB51	female	mother
HG02477	BB52	female	mother
HG02478	BB53	male	father
HG02479	BB53	female	mother
HG02480	BB53	female	child
HG02481	BB54	male	father
HG02484	BB55	male	father
HG02485	BB55	female	mother
HG02486	BB55	male	child
HG02489	BB45	male	null
HG02490	PK06	male	father
HG02491	PK06	female	mother
HG02492	PK06	male	child
HG02493	PK07	male	father
HG02494	PK07	female	mother
HG02495	PK07	female	child
HG02496	BB57	male	null
HG02497	BB57	female	null
HG02501	BB58	male	father
HG02502	BB58	female	mother
HG02505	BB59	female	mother
HG02508	BB60	female	null
HG02511	BB56	female	null
HG02512	VN087	male	father
HG02513	VN087	female	mother
HG02514	VN087	male	child
HG02521	VN090	male	father
HG02522	VN090	female	mother
HG02523	VN090	female	child
HG02524	VN91	male	father
HG02525	VN91	female	mother
HG02526	VN91	female	child
HG02536	BB61	male	father
HG02537	BB61	female	mother
HG02541	BB63	male	father
HG02545	BB64	male	father
HG02546	BB64	female	mother
HG02547	BB64	male	child
HG02549	BB65	female	mother
HG02554	BB67	male	father
HG02555	BB67	female	mother
HG02557	BB68	male	father
HG02558	BB68	female	mother
HG02559	BB68	female	child
HG02561	GB18	male	father
HG02562	GB18	female	mother
HG02563	GB18	male	child
HG02567	GB20	male	father
HG02568	GB20	female	mother
HG02569	GB20	male	child
HG02570	GB21	male	father
HG02571	GB21	female	mother
HG02572	GB21	male	child
HG02573	GB22	male	father
HG02574	GB22	female	mother
HG02575	GB22	male	child
HG02577	BB69	female	mother
HG02580	BB70	female	mother
HG02582	GB23	male	father
HG02583	GB23	female	mother
HG02584	GB23	male	child
HG02585	GB24	male	father
HG02586	GB24	female	mother
HG02587	GB24	female	child
HG02588	GB25	male	father
HG02589	GB25	female	mother
HG02590	GB25	male	child
HG02594	GB27	male	father
HG02595	GB27	female	mother
HG02596	GB27	male	child
HG02597	PK08	male	father
HG02599	PK08	male	child
HG02600	PK09	male	father
HG02601	PK09	female	mother
HG02602	PK09	male	child
HG02603	PK10	male	father
HG02604	PK10	female	mother
HG02605	PK10	female	child
HG02610	GB28	male	father
HG02611	GB28	female	mother
HG02612	GB28	male	child
HG02613	GB29	male	father
HG02614	GB29	female	mother
HG02615	GB29	female	child
HG02620	GB31	male	father
HG02621	GB31	female	mother
HG02622	GB31	female	child
HG02623	GB32	male	father
HG02624	GB32	female	mother
HG02625	GB32	male	child
HG02628	GB33	male	father
HG02629	GB33	female	mother
HG02630	GB33	female	child
HG02634	GB35	male	father
HG02635	GB35	female	mother
HG02636	GB35	male	child
HG02642	GB37	male	father
HG02643	GB37	female	mother
HG02644	GB37	male	child
HG02645	GB38	male	father
HG02646	GB38	female	mother
HG02647	GB38	male	child
HG02648	PK11	male	father
HG02649	PK11	female	mother
HG02650	PK11	male	child
HG02651	PK12	male	father
HG02652	PK12	female	mother
HG02653	PK12	female	child
HG02654	PK13	male	father
HG02655	PK13	female	mother
HG02656	PK13	male	child
HG02657	PK14	male	father
HG02658	PK14	female	mother
HG02659	PK14	female	child
HG02660	PK15	male	father
HG02661	PK15	female	mother
HG02662	PK15	female	child
HG02666	GB40	male	father
HG02667	GB40	female	mother
HG02668	GB40	male	child
HG02675	GB43	male	father
HG02676	GB43	female	mother
HG02677	GB43	female	child
HG02678	GB44	male	father
HG02679	GB44	female	mother
HG02680	GB44	female	child
HG02681	PK16	male	father
HG02682	PK16	female	mother
HG02683	PK16	female	child
HG02684	PK17	male	father
HG02685	PK17	female	mother
HG02686	PK17	male	child
HG02687	PK18	male	father
HG02688	PK18	female	mother
HG02689	PK18	male	child
HG02690	PK19	male	father
HG02691	PK19	female	mother
HG02692	PK19	female	child
HG02694	PK20	female	mother
HG02696	PK21	male	father
HG02697	PK21	female	mother
HG02698	PK21	male	child
HG02699	PK22	male	father
HG02700	PK22	female	mother
HG02701	PK22	male	child
HG02702	GB45	male	father
HG02703	GB45	female	mother
HG02704	GB45	female	child
HG02715	GB50	male	father
HG02716	GB50	female	mother
HG02717	GB50	male	child
HG02721	GB52	male	father
HG02722	GB52	female	mother
HG02723	GB52	female	child
HG02724	PK23	male	father
HG02725	PK23	female	mother
HG02726	PK23	female	child
HG02727	PK24	male	father
HG02728	PK24	female	mother
HG02729	PK24	male	child
HG02731	PK25	female	mother
HG02733	PK26	male	father
HG02734	PK26	female	mother
HG02735	PK26	male	child
HG02736	PK27	male	father
HG02737	PK27	female	mother
HG02738	PK27	male	child
HG02756	GB53	male	father
HG02757	GB53	female	mother
HG02758	GB53	female	child
HG02759	GB54	male	father
HG02760	GB54	female	mother
HG02761	GB54	female	child
HG02762	GB55	male	father
HG02763	GB55	female	mother
HG02764	GB55	male	child
HG02768	GB57	male	father
HG02769	GB57	female	mother
HG02770	GB57	female	child
HG02771	GB58	male	father
HG02772	GB58	female	mother
HG02773	GB58	male	child
HG02774	PK28	male	father
HG02775	PK28	female	mother
HG02776	PK28	female	child
HG02778	PK29	female	mother
HG02779	PK29	male	child
HG02780	PK30	male	father
HG02781	PK30	female	mother
HG02783	PK31	male	father
HG02784	PK31	female	mother
HG02785	PK31	female	child
HG02786	PK32	male	father
HG02787	PK32	female	mother
HG02788	PK32	female	child
HG02789	PK33	male	father
HG02790	PK33	female	mother
HG02791	PK33	male	child
HG02792	PK34	male	father
HG02793	PK34	female	mother
HG02794	PK34	male	child
HG02798	GB60	male	father
HG02799	GB60	female	mother
HG02800	GB60	male	child
HG02804	GB62	male	father
HG02805	GB62	female	mother
HG02806	GB62	female	child
HG02807	GB63	male	father
HG02808	GB63	female	mother
HG02809	GB63	female	child
HG02810	GB64	male	father
HG02811	GB64	female	mother
HG02812	GB64	male	child
HG02813	GB65	male	father
HG02814	GB65	female	mother
HG02815	GB65	male	child
HG02816	GB66	male	father
HG02817	GB66	female	mother
HG02818	GB66	female	child
HG02819	GB67	male	father
HG02820	GB67	female	mother
HG02821	GB67	male	child
HG02836	GB73	male	father
HG02837	GB73	female	mother
HG02838	GB73	male	child
HG02839	GB74	male	father
HG02840	GB74	female	mother
HG02841	GB74	female	child
HG02851	GB78	male	father
HG02852	GB78	female	mother
HG02853	GB78	male	child
HG02854	GB79	male	father
HG02855	GB79	female	mother
HG02856	GB79	male	child
HG02860	GB81	male	father
HG02861	GB81	female	mother
HG02862	GB81	female	child
HG02869	GB84	male	father
HG02870	GB84	female	mother
HG02871	GB84	female	child
HG02878	GB87	male	father
HG02879	GB87	female	mother
HG02880	GB87	female	child
HG02881	GB88	male	father
HG02882	GB88	female	mother
HG02883	GB88	male	child
HG02884	GB89	male	father
HG02885	GB89	female	mother
HG02886	GB89	female	child
HG02887	GB90	male	father
HG02888	GB90	female	mother
HG02889	GB90	female	child
HG02890	GB91	male	father
HG02891	GB91	female	mother
HG02892	GB91	male	child
HG02895	GB93	male	father
HG02896	GB93	female	mother
HG02897	GB93	female	child
HG02922	NG06	female	mother
HG02923	NG06	male	father
HG02924	NG06	male	child
HG02938	NG11	male	father
HG02939	NG11	male	child
HG02941	NG12	male	father
HG02942	NG12	male	child
HG02943	NG13	female	mother
HG02944	NG13	male	father
HG02945	NG13	female	child
HG02946	NG14	female	mother
HG02947	NG14	male	father
HG02948	NG14	male	child
HG02952	NG16	female	mother
HG02953	NG16	male	father
HG02954	NG16	male	child
HG02964	NG20	female	mother
HG02965	NG20	male	father
HG02966	NG20	male	child
HG02968	NG21	male	father
HG02969	NG21	female	child
HG02970	NG22	female	mother
HG02971	NG22	male	father
HG02972	NG22	male	child
HG02973	NG23	male	father
HG02974	NG23	female	mother
HG02975	NG23	male	child
HG02976	NG24	female	mother
HG02977	NG24	male	father
HG02978	NG24	female	child
HG02979	NG25	female	mother
HG02980	NG25	male	child
HG02981	NG25	male	father
HG02982	GB97	male	father
HG02983	GB97	female	mother
HG02984	GB97	male	child
HG03006	BD01	male	father
HG03007	BD01	female	mother
HG03008	BD01	male	child
HG03009	HG03009	male	unrel
HG03012	BD3	male	father
HG03015	PK35	male	father
HG03016	PK35	female	mother
HG03017	PK35	male	child
HG03018	PK36	male	father
HG03019	PK36	female	mother
HG03021	PK37	male	father
HG03022	HG03022	female	unrel
HG03023	PK37	male	child
HG03024	GB105	male	father
HG03025	GB105	female	mother
HG03026	GB105	female	child
HG03027	GB106	male	father
HG03028	GB106	female	mother
HG03029	GB106	male	child
HG03033	GB108	male	father
HG03034	GB108	female	mother
HG03035	GB108	male	child
HG03039	GB110	male	father
HG03040	GB110	female	mother
HG03041	GB110	female	child
HG03045	GB112	male	father
HG03046	GB112	female	mother
HG03047	GB112	female	child
HG03048	GB113	male	father
HG03049	GB113	female	mother
HG03050	GB113	male	child
HG03052	SL01	female	mother
HG03053	SL01	female	child
HG03054	SL02	male	father
HG03055	SL02	female	mother
HG03056	SL02	male	child
HG03057	HG03057	male	unrel
HG03058	SL03	female	mother
HG03059	SL03	male	child
HG03060	HG03060	male	unrel
HG03061	SL04	female	mother
HG03062	SL04	male	child
HG03063	SL05	male	father
HG03064	SL05	female	mother
HG03065	SL05	male	child
HG03066	SL06	male	father
HG03069	SL07	male	father
HG03072	SL08	male	father
HG03073	SL08	female	mother
HG03074	HG03074	male	unrel
HG03076	SL09	female	mother
HG03077	HG03077	male	unrel
HG03078	HG03078	male	unrel
HG03079	SL10	female	mother
HG03080	SL10	female	child
HG03081	SL11	male	father
HG03082	SL11	female	mother
HG03084	HG03084	male	unrels
HG03085	HG03085	female	unrels
HG03086	HG03086	female	unrel
HG03088	SL13	female	mother
HG03091	SL14	female	mother
HG03095	SL15	female	child
HG03096	SL16	male	father
HG03097	SL16	female	mother
HG03098	SL16	male	child
HG03099	NG26	female	mother
HG03100	NG26	male	father
HG03101	NG26	male	child
HG03103	NG27	male	father
HG03104	NG27	female	child
HG03105	NG28	female	mother
HG03107	NG28	female	child
HG03108	NG29	female	mother
HG03109	NG29	male	father
HG03110	NG29	female	child
HG03111	NG30	female	mother
HG03112	NG30	male	father
HG03113	NG30	female	child
HG03114	NG31	female	mother
HG03115	NG31	male	father
HG03116	NG31	female	child
HG03117	NG32	female	mother
HG03118	NG32	male	father
HG03119	NG32	female	child
HG03120	NG33	male	father
HG03121	NG33	female	mother
HG03122	NG33	male	child
HG03123	NG34	female	mother
HG03124	NG34	male	father
HG03125	NG34	female	child
HG03126	NG35	female	mother
HG03127	NG35	male	father
HG03128	NG35	male	child
HG03129	NG36	female	mother
HG03130	NG36	male	father
HG03131	NG36	male	child
HG03132	NG37	female	mother
HG03133	NG37	male	father
HG03134	NG37	male	child
HG03135	NG38	female	mother
HG03136	NG38	male	father
HG03137	NG38	male	child
HG03139	NG39	male	father
HG03140	NG39	female	child
HG03157	NG45	male	father
HG03158	NG45	female	child
HG03159	NG46	female	mother
HG03160	NG46	male	father
HG03161	NG46	male	child
HG03162	NG47	female	mother
HG03163	NG47	male	father
HG03164	NG47	female	child
HG03166	NG48	male	father
HG03167	NG48	male	child
HG03168	NG49	female	mother
HG03169	NG49	male	father
HG03170	NG49	male	child
HG03171	HG03171	female	unrel
HG03172	NG50	male	father
HG03173	NG50	male	child
HG03175	NG51	male	father
HG03176	NG51	male	child
HG03189	NG56	female	mother
HG03190	NG56	male	father
HG03191	NG56	male	child
HG03193	NG57	male	father
HG03194	NG57	male	child
HG03195	NG58	female	mother
HG03196	NG58	male	father
HG03197	NG58	male	child
HG03198	NG59	female	mother
HG03199	NG59	male	father
HG03200	NG59	female	child
HG03202	NG60	male	father
HG03203	NG60	female	child
HG03209	SL17	male	child
HG03212	SL18	female	child
HG03224	SL22	male	child
HG03225	SL23	male	father
HG03228	PK38	male	father
HG03229	PK38	female	mother
HG03230	PK38	female	child
HG03234	PK40	male	father
HG03235	PK40	female	mother
HG03236	PK40	female	child
HG03237	PK41	male	father
HG03238	PK41	female	mother
HG03239	PK41	female	child
HG03240	GB114	male	father
HG03241	GB114	female	mother
HG03242	GB114	male	child
HG03246	GB116	male	father
HG03247	GB116	female	mother
HG03248	GB116	male	child
HG03249	GB117	male	father
HG03250	GB117	female	mother
HG03251	GB117	female	child
HG03258	GB120	male	father
HG03259	GB120	female	mother
HG03260	GB120	male	child
HG03265	NG63	male	father
HG03266	NG63	female	child
HG03267	NG64	female	mother
HG03268	NG64	male	father
HG03269	NG64	male	child
HG03270	NG65	female	mother
HG03271	NG65	male	father
HG03272	NG65	female	child
HG03279	NG68	female	mother
HG03280	NG68	male	father
HG03291	NG72	female	mother
HG03293	NG72	male	child
HG03294	NG73	female	mother
HG03295	NG73	male	father
HG03296	NG73	male	child
HG03297	NG74	female	mother
HG03298	NG74	male	father
HG03299	NG74	male	child
HG03300	NG75	female	mother
